DATASET_TITLE	Dwelling Stock by Council Tax Band, 2001										FROM	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
AREA_TYPE	Super Output Area Lower Layer										TO	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
GEO_HIERARCHY	NeSS Geography Hierarchy										HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
											MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
											STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
H	London			00AC	Barnet	E02000044	Barnet 021	E01000132	Barnet 021B			513	0	0	15	2.92	250	48.73	238	46.39	9	1.75	1	0.19	0	0	0	0	0	0
H	London			00AC	Barnet	E02000044	Barnet 021	E01000133	Barnet 021C			581	0	0	49	8.43	143	24.61	376	64.72	8	1.38	3	0.52	2	0.34	0	0	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000134	Barnet 024F			613	0	0	30	4.89	286	46.66	234	38.17	24	3.92	28	4.57	11	1.79	0	0	0	0
H	London			00AC	Barnet	E02000061	Barnet 038	E01000135	Barnet 038A			469	0	0	1	0.21	21	4.48	58	12.37	58	12.37	56	11.94	255	54.37	20	4.26	0	0
H	London			00AC	Barnet	E02000061	Barnet 038	E01000136	Barnet 038B			549	0	0	10	1.82	28	5.1	47	8.56	41	7.47	46	8.38	132	24.04	245	44.63	0	0
H	London			00AC	Barnet	E02000064	Barnet 041	E01000137	Barnet 041A			644	9	1.4	290	45.03	178	27.64	72	11.18	71	11.02	21	3.26	2	0.31	1	0.16	0	0
H	London			00AC	Barnet	E02000063	Barnet 040	E01000138	Barnet 040A			503	3	0.6	4	0.8	32	6.36	112	22.27	116	23.06	234	46.52	2	0.4	0	0	0	0
H	London			00AC	Barnet	E02000064	Barnet 041	E01000139	Barnet 041B			563	0	0	15	2.66	41	7.28	160	28.42	137	24.33	31	5.51	77	13.68	102	18.12	0	0
H	London			00AC	Barnet	E02000064	Barnet 041	E01000140	Barnet 041C			649	15	2.31	22	3.39	168	25.89	146	22.5	164	25.27	27	4.16	80	12.33	27	4.16	0	0
H	London			00AC	Barnet	E02000062	Barnet 039	E01000141	Barnet 039A			715	22	3.08	63	8.81	263	36.78	213	29.79	131	18.32	23	3.22	0	0	0	0	0	0
H	London			00AC	Barnet	E02000063	Barnet 040	E01000142	Barnet 040B			628	0	0	1	0.16	92	14.65	162	25.8	158	25.16	191	30.41	23	3.66	1	0.16	0	0
H	London			00AC	Barnet	E02000064	Barnet 041	E01000143	Barnet 041D			523	11	2.1	189	36.14	84	16.06	171	32.7	26	4.97	2	0.38	36	6.88	4	0.76	0	0
H	London			00AC	Barnet	E02000061	Barnet 038	E01000144	Barnet 038C			530	7	1.32	7	1.32	51	9.62	143	26.98	78	14.72	22	4.15	216	40.75	6	1.13	0	0
H	London			00AC	Barnet	E02000060	Barnet 037	E01000145	Barnet 037A			457	0	0	3	0.66	19	4.16	51	11.16	14	3.06	188	41.14	170	37.2	12	2.63	0	0
H	London			00AC	Barnet	E02000061	Barnet 038	E01000146	Barnet 038D			622	17	2.73	35	5.63	135	21.7	120	19.29	62	9.97	67	10.77	177	28.46	9	1.45	0	0
H	London			00AC	Barnet	E02000053	Barnet 030	E01000147	Barnet 030A			541	0	0	5	0.92	26	4.81	21	3.88	457	84.47	29	5.36	3	0.55	0	0	0	0
H	London			00AC	Barnet	E02000053	Barnet 030	E01000148	Barnet 030B			630	13	2.06	137	21.75	287	45.56	100	15.87	80	12.7	9	1.43	4	0.63	0	0	0	0
H	London			00AC	Barnet	E02000053	Barnet 030	E01000149	Barnet 030C			528	1	0.19	6	1.14	120	22.73	124	23.48	263	49.81	9	1.7	1	0.19	4	0.76	0	0
H	London			00AC	Barnet	E02000059	Barnet 036	E01000150	Barnet 036A			628	11	1.75	21	3.34	162	25.8	73	11.62	355	56.53	6	0.96	0	0	0	0	0	0
H	London			00AC	Barnet	E02000049	Barnet 026	E01000151	Barnet 026B			620	27	4.35	435	70.16	19	3.06	138	22.26	0	0	0	0	1	0.16	0	0	0	0
H	London			00AC	Barnet	E02000049	Barnet 026	E01000152	Barnet 026C			577	0	0	133	23.05	290	50.26	118	20.45	33	5.72	1	0.17	2	0.35	0	0	0	0
H	London			00AC	Barnet	E02000049	Barnet 026	E01000153	Barnet 026D			624	8	1.28	157	25.16	164	26.28	250	40.06	45	7.21	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000049	Barnet 026	E01000154	Barnet 026E			602	1	0.17	117	19.44	248	41.2	233	38.7	3	0.5	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000053	Barnet 030	E01000155	Barnet 030D			782	0	0	160	20.46	266	34.02	328	41.94	24	3.07	1	0.13	1	0.13	2	0.26	0	0
