DATASET_TITLE	Dwelling Stock by Council Tax Band, 2011												FROM	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
AREA_TYPE	Super Output Area Lower Layer												TO	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
GEO_HIERARCHY	NeSS Geography Hierarchy												HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
													MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
													STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	FLA_CODE	FLA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
E12000007	London			E09000002	Barking and Dagenham			E02000004	Barking and Dagenham 003	E01000038	Barking and Dagenham 003C			613	0	0	31	5.06	78	12.72	481	78.47	23	3.75	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000004	Barking and Dagenham 003	E01000039	Barking and Dagenham 003D			667	11	1.65	43	6.45	376	56.37	189	28.34	44	6.6	4	0.6	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000020	Barking and Dagenham 019	E01000040	Barking and Dagenham 019A			660	14	2.12	223	33.79	406	61.52	16	2.42	0	0	0	0	0	0	1	0.15	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000018	Barking and Dagenham 017	E01000041	Barking and Dagenham 017A			608	16	2.63	1	0.16	584	96.05	7	1.15	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000018	Barking and Dagenham 017	E01000042	Barking and Dagenham 017B			703	47	6.69	283	40.26	369	52.49	2	0.28	2	0.28	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000020	Barking and Dagenham 019	E01000043	Barking and Dagenham 019B			470	2	0.43	47	10	306	65.11	115	24.47	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000017	Barking and Dagenham 016	E01000044	Barking and Dagenham 016D			640	6	0.94	63	9.84	489	76.41	80	12.5	2	0.31	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000018	Barking and Dagenham 017	E01000045	Barking and Dagenham 017C			604	44	7.28	25	4.14	527	87.25	7	1.16	0	0	1	0.17	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000018	Barking and Dagenham 017	E01000046	Barking and Dagenham 017D			660	36	5.45	5	0.76	548	83.03	71	10.76	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000022	Barking and Dagenham 021	E01000047	Barking and Dagenham 021A			1326	281	21.19	436	32.88	606	45.7	1	0.08	0	0	0	0	1	0.08	1	0.08	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000022	Barking and Dagenham 021	E01000048	Barking and Dagenham 021B			649	470	72.42	153	23.57	26	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000022	Barking and Dagenham 021	E01000049	Barking and Dagenham 021C			649	324	49.92	158	24.35	166	25.58	0	0	0	0	0	0	0	0	1	0.15	0	0	0	0
