"","long","lat","order","hole","piece","group","id"
"245",524045.709338788,168576.315016165,7,FALSE,"1","ID35.1","ID35"
"246",527183.512307949,168576.315016165,1,FALSE,"1","ID36.1","ID36"
"247",528752.413792529,169482.12071062,2,FALSE,"1","ID36.1","ID36"
"248",530321.31527711,168576.315016165,3,FALSE,"1","ID36.1","ID36"
"249",530321.31527711,166764.703627257,4,FALSE,"1","ID36.1","ID36"
"250",528752.413792529,165858.897932802,5,FALSE,"1","ID36.1","ID36"
"251",527183.512307949,166764.703627257,6,FALSE,"1","ID36.1","ID36"
"252",527183.512307949,168576.315016165,7,FALSE,"1","ID36.1","ID36"
"253",530321.31527711,168576.315016165,1,FALSE,"1","ID37.1","ID37"
"254",531890.21676169,169482.12071062,2,FALSE,"1","ID37.1","ID37"
"255",533459.11824627,168576.315016165,3,FALSE,"1","ID37.1","ID37"
"256",533459.11824627,166764.703627257,4,FALSE,"1","ID37.1","ID37"
"257",531890.21676169,165858.897932802,5,FALSE,"1","ID37.1","ID37"
"258",530321.31527711,166764.703627257,6,FALSE,"1","ID37.1","ID37"
"259",530321.31527711,168576.315016165,7,FALSE,"1","ID37.1","ID37"
"260",533459.118246271,168576.315016165,1,FALSE,"1","ID38.1","ID38"
"261",535028.019730851,169482.12071062,2,FALSE,"1","ID38.1","ID38"
"262",536596.921215431,168576.315016165,3,FALSE,"1","ID38.1","ID38"
"263",536596.921215431,166764.703627257,4,FALSE,"1","ID38.1","ID38"
"264",535028.019730851,165858.897932802,5,FALSE,"1","ID38.1","ID38"
"265",533459.118246271,166764.703627257,6,FALSE,"1","ID38.1","ID38"
"266",533459.118246271,168576.315016165,7,FALSE,"1","ID38.1","ID38"
"267",536596.921215432,168576.315016165,1,FALSE,"1","ID39.1","ID39"
"268",538165.822700012,169482.12071062,2,FALSE,"1","ID39.1","ID39"
"269",539734.724184592,168576.315016165,3,FALSE,"1","ID39.1","ID39"
"270",539734.724184592,166764.703627257,4,FALSE,"1","ID39.1","ID39"
"271",538165.822700012,165858.897932802,5,FALSE,"1","ID39.1","ID39"
"272",536596.921215432,166764.703627257,6,FALSE,"1","ID39.1","ID39"
"273",536596.921215432,168576.315016165,7,FALSE,"1","ID39.1","ID39"
"274",539734.724184592,168576.315016165,1,FALSE,"1","ID40.1","ID40"
"275",541303.625669172,169482.12071062,2,FALSE,"1","ID40.1","ID40"
"276",542872.527153753,168576.315016165,3,FALSE,"1","ID40.1","ID40"
"277",542872.527153753,166764.703627257,4,FALSE,"1","ID40.1","ID40"
"278",541303.625669172,165858.897932802,5,FALSE,"1","ID40.1","ID40"
"279",539734.724184592,166764.703627257,6,FALSE,"1","ID40.1","ID40"
"280",539734.724184592,168576.315016165,7,FALSE,"1","ID40.1","ID40"
"281",542872.527153753,168576.315016165,1,FALSE,"1","ID41.1","ID41"
"282",544441.428638333,169482.12071062,2,FALSE,"1","ID41.1","ID41"
"283",546010.330122914,168576.315016165,3,FALSE,"1","ID41.1","ID41"
"284",546010.330122914,166764.703627257,4,FALSE,"1","ID41.1","ID41"
"285",544441.428638333,165858.897932802,5,FALSE,"1","ID41.1","ID41"
"286",542872.527153753,166764.703627257,6,FALSE,"1","ID41.1","ID41"
"287",542872.527153753,168576.315016165,7,FALSE,"1","ID41.1","ID41"
"288",546010.330122914,168576.315016165,1,FALSE,"1","ID42.1","ID42"
"289",547579.231607494,169482.12071062,2,FALSE,"1","ID42.1","ID42"
"290",549148.133092074,168576.315016165,3,FALSE,"1","ID42.1","ID42"
"291",549148.133092074,166764.703627257,4,FALSE,"1","ID42.1","ID42"
"292",547579.231607494,165858.897932802,5,FALSE,"1","ID42.1","ID42"
"293",546010.330122914,166764.703627257,6,FALSE,"1","ID42.1","ID42"
"294",546010.330122914,168576.315016165,7,FALSE,"1","ID42.1","ID42"
"295",509925.595977565,171293.732099529,1,FALSE,"1","ID43.1","ID43"
"296",511494.497462145,172199.537793983,2,FALSE,"1","ID43.1","ID43"
"297",513063.398946725,171293.732099529,3,FALSE,"1","ID43.1","ID43"
"298",513063.398946725,169482.12071062,4,FALSE,"1","ID43.1","ID43"
"299",511494.497462145,168576.315016166,5,FALSE,"1","ID43.1","ID43"
"300",509925.595977565,169482.12071062,6,FALSE,"1","ID43.1","ID43"
"301",509925.595977565,171293.732099529,7,FALSE,"1","ID43.1","ID43"
"302",513063.398946726,171293.732099529,1,FALSE,"1","ID44.1","ID44"
"303",514632.300431306,172199.537793983,2,FALSE,"1","ID44.1","ID44"
"304",516201.201915886,171293.732099529,3,FALSE,"1","ID44.1","ID44"
"305",516201.201915886,169482.12071062,4,FALSE,"1","ID44.1","ID44"
