"","LSOA01CD","hex","hex.id"
"1639","E01001673",97,"ID97"
"1640","E01001674",98,"ID98"
"1641","E01001675",97,"ID97"
"1642","E01001676",98,"ID98"
"1643","E01001677",97,"ID97"
"1644","E01001678",82,"ID82"
"1645","E01001679",81,"ID81"
"1646","E01001680",81,"ID81"
"1647","E01001681",97,"ID97"
"1648","E01001682",81,"ID81"
"1649","E01001683",97,"ID97"
"1650","E01001684",82,"ID82"
"1651","E01001685",97,"ID97"
"1652","E01001686",81,"ID81"
"1653","E01001687",97,"ID97"
"1654","E01001688",114,"ID114"
"1655","E01001690",114,"ID114"
"1656","E01001692",114,"ID114"
"1657","E01001693",114,"ID114"
"1658","E01001694",114,"ID114"
"1659","E01001695",97,"ID97"
"1660","E01001696",97,"ID97"
"1661","E01001697",97,"ID97"
"1662","E01001698",97,"ID97"
"1663","E01001699",97,"ID97"
"1664","E01001700",97,"ID97"
"1665","E01001701",81,"ID81"
"1666","E01001702",97,"ID97"
"1667","E01001703",97,"ID97"
"1668","E01001704",97,"ID97"
"1669","E01001705",96,"ID96"
"1670","E01001706",96,"ID96"
"1671","E01001708",96,"ID96"
"1672","E01001709",96,"ID96"
"1673","E01001710",97,"ID97"
"1674","E01001711",113,"ID113"
"1675","E01001712",113,"ID113"
"1676","E01001713",96,"ID96"
"1677","E01001714",162,"ID162"
"1678","E01001715",162,"ID162"
"1679","E01001716",143,"ID143"
"1680","E01001717",143,"ID143"
"1681","E01001718",162,"ID162"
"1682","E01001719",144,"ID144"
"1683","E01001720",144,"ID144"
"1684","E01001722",145,"ID145"
"1685","E01001723",163,"ID163"
"1686","E01001724",144,"ID144"
"1687","E01001725",163,"ID163"
"1688","E01001726",163,"ID163"
"1689","E01001727",163,"ID163"
"1690","E01001728",163,"ID163"
"1691","E01001729",128,"ID128"
"1692","E01001730",145,"ID145"
"1693","E01001731",145,"ID145"
"1694","E01001732",128,"ID128"
"1695","E01001733",145,"ID145"
"1696","E01001734",144,"ID144"
"1697","E01001735",145,"ID145"
"1698","E01001736",144,"ID144"
"1699","E01001737",126,"ID126"
"1700","E01001738",144,"ID144"
"1701","E01001739",144,"ID144"
"1702","E01001740",144,"ID144"
"1703","E01001741",163,"ID163"
"1704","E01001742",144,"ID144"
"1705","E01001744",144,"ID144"
"1706","E01001745",144,"ID144"
"1707","E01001746",145,"ID145"
"1708","E01001747",144,"ID144"
"1709","E01001748",127,"ID127"
"1710","E01001749",127,"ID127"
"1711","E01001750",144,"ID144"
"1712","E01001751",126,"ID126"
"1713","E01001752",126,"ID126"
"1714","E01001753",126,"ID126"
"1715","E01001754",126,"ID126"
"1716","E01001755",126,"ID126"
"1717","E01001756",127,"ID127"
"1718","E01001757",145,"ID145"
"1719","E01001758",145,"ID145"
"1720","E01001759",144,"ID144"
"1721","E01001760",145,"ID145"
"1722","E01001761",127,"ID127"
"1723","E01001762",145,"ID145"
"1724","E01001763",127,"ID127"
"1725","E01001764",127,"ID127"
"1726","E01001765",145,"ID145"
"1727","E01001767",145,"ID145"
"1728","E01001768",145,"ID145"
"1729","E01001769",144,"ID144"
"1730","E01001770",144,"ID144"
"1731","E01001772",144,"ID144"
"1732","E01001773",127,"ID127"
"1733","E01001774",127,"ID127"
"1734","E01001775",127,"ID127"
"1735","E01001776",110,"ID110"
"1736","E01001777",126,"ID126"
"1737","E01001779",126,"ID126"
"1738","E01001780",110,"ID110"
"1739","E01001781",126,"ID126"
"1740","E01001782",110,"ID110"
"1741","E01001783",144,"ID144"
"1742","E01001784",127,"ID127"
"1743","E01001785",145,"ID145"
"1744","E01001786",145,"ID145"
"1745","E01001787",145,"ID145"
"1746","E01001788",145,"ID145"
"1747","E01001789",145,"ID145"
"1748","E01001790",146,"ID146"
"1749","E01001791",145,"ID145"
"1750","E01001792",145,"ID145"
"1751","E01001793",145,"ID145"
"1752","E01001794",145,"ID145"
"1753","E01001795",145,"ID145"
"1754","E01001796",145,"ID145"
"1755","E01001798",163,"ID163"
"1756","E01001799",144,"ID144"
"1757","E01001800",163,"ID163"
"1758","E01001801",163,"ID163"
"1759","E01001802",162,"ID162"
"1760","E01001803",144,"ID144"
"1761","E01001804",162,"ID162"
"1762","E01001805",145,"ID145"
"1763","E01001806",162,"ID162"
"1764","E01001807",163,"ID163"
"1765","E01001808",163,"ID163"
"1766","E01001809",163,"ID163"
"1767","E01001811",162,"ID162"
"1768","E01001812",162,"ID162"
"1769","E01001813",162,"ID162"
"1770","E01001814",163,"ID163"
"1771","E01001815",127,"ID127"
"1772","E01001816",127,"ID127"
"1773","E01001819",126,"ID126"
"1774","E01001820",110,"ID110"
"1775","E01001821",127,"ID127"
"1776","E01001822",145,"ID145"
"1777","E01001823",163,"ID163"
"1778","E01001824",163,"ID163"
"1779","E01001825",163,"ID163"
"1780","E01001826",163,"ID163"
"1781","E01001827",163,"ID163"
"1782","E01001828",163,"ID163"
"1783","E01001829",144,"ID144"
"1784","E01001830",144,"ID144"
"1785","E01001831",144,"ID144"
"1786","E01001832",144,"ID144"
"1787","E01001833",145,"ID145"
"1788","E01001834",145,"ID145"
"1789","E01001835",127,"ID127"
"1790","E01001836",128,"ID128"
"1791","E01001837",127,"ID127"
"1792","E01001838",145,"ID145"
"1793","E01001839",128,"ID128"
"1794","E01001840",128,"ID128"
"1795","E01001841",128,"ID128"
"1796","E01001842",127,"ID127"
"1797","E01001843",127,"ID127"
"1798","E01001844",128,"ID128"
"1799","E01001845",128,"ID128"
"1800","E01001846",146,"ID146"
"1801","E01001847",145,"ID145"
"1802","E01001848",128,"ID128"
"1803","E01001849",128,"ID128"
"1804","E01001850",128,"ID128"
"1805","E01001851",90,"ID90"
"1806","E01001852",90,"ID90"
"1807","E01001853",106,"ID106"
"1808","E01001854",90,"ID90"
"1809","E01001855",90,"ID90"
"1810","E01001856",90,"ID90"
"1811","E01001857",106,"ID106"
"1812","E01001858",89,"ID89"
"1813","E01001859",89,"ID89"
"1814","E01001860",89,"ID89"
